"category","year","prize_amount","prize_amount_adjusted"
6,2019,9000000,10013620
2,2019,9000000,10013620
3,2019,9000000,10013620
4,2019,9000000,10013620
5,2019,9000000,10013620
1,2020,10000000,11074035
6,2020,10000000,11074035
2,2020,10000000,11074035
3,2020,10000000,11074035
4,2020,10000000,11074035
5,2020,10000000,11074035
1,2021,10000000,10836735
6,2021,10000000,10836735
2,2021,10000000,10836735
3,2021,10000000,10836735
4,2021,10000000,10836735
5,2021,10000000,10836735
1,2022,10000000,10000000
6,2022,10000000,10000000
2,2022,10000000,10000000
3,2022,10000000,10000000
4,2022,10000000,10000000
5,2022,10000000,10000000
1,2023,11000000,10136226
6,2023,11000000,10136226
2,2023,11000000,10136226
3,2023,11000000,10136226
4,2023,11000000,10136226
5,2023,11000000,10136226
1,2024,11000000,11000000
6,2024,11000000,11000000
2,2024,11000000,11000000
3,2024,11000000,11000000
4,2024,11000000,11000000
5,2024,11000000,11000000
